,0,1,2
0,The Wilson Deception (A Fraser and Cook Mystery),9781496703255,"{'ISBN-13': '9781496703255', 'Title': 'The Wilson Deception', 'Authors': ['David O. Stewart'], 'Publisher': '', 'Year': '2016', 'Language': 'en'}"
1,The Unfortunate Decisions of Dahlia Moss,9780316385985,"{'ISBN-13': '9780316385985', 'Title': 'The Unfortunate Decisions Of Dahlia Moss', 'Authors': ['Max Wirestone'], 'Publisher': 'Redhook', 'Year': '2016', 'Language': 'en'}"
2,Silent Murders: A Mystery (A Roaring Twenties Mystery),9781250051370,"{'ISBN-13': '9781250051370', 'Title': 'Silent Murders', 'Authors': ['Mary Miley'], 'Publisher': 'Macmillan', 'Year': '2014', 'Language': 'en'}"
3,Gone With the Witch: A Wishcraft Mystery,9781101990117,"{'ISBN-13': '9781101990117', 'Title': 'Gone With The Witch', 'Authors': ['Heather Blake'], 'Publisher': 'Berkley', 'Year': '2016', 'Language': 'en'}"
4,Murder Has Nine Lives (A Jaine Austen Mystery),9780758285102,"{'ISBN-13': '9780758285102', 'Title': 'Murder Has Nine Lives', 'Authors': ['L. Levine'], 'Publisher': 'Jaine Austen Mystery', 'Year': '2017', 'Language': 'en'}"
5,Off the Books: A Novel Idea Mystery,9780425276679,"{'ISBN-13': '9780425276679', 'Title': 'Off The Books', 'Authors': ['Lucy Arlington'], 'Publisher': 'Berkley', 'Year': '2016', 'Language': 'en'}"
6,Behind the Shattered Glass: A Lady Emily Mystery (Lady Emily Mysteries),9781250049070,"{'ISBN-13': '9781250049070', 'Title': 'Behind The Shattered Glass - A Lady Emily Mystery', 'Authors': ['Tasha Alexander'], 'Publisher': 'Minotaur Books', 'Year': '2014', 'Language': 'en'}"
7,The Impersonator: A Mystery (A Roaring Twenties Mystery),9781250028167,"{'ISBN-13': '9781250028167', 'Title': 'The Impersonator', 'Authors': ['Mary Miley'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}"
8,"The Good, the Bad, and the Emus: A Meg Langslow Mystery (Meg Langslow Mysteries)",9781250009371,"{'ISBN-13': '9781250009371', 'Title': 'The Good, The Bad, And The Emus - A Meg Langslow Mystery', 'Authors': ['Donna Andrews'], 'Publisher': ""St. Martin's Paperbacks"", 'Year': '2015', 'Language': 'en'}"
9,Duck the Halls: A Meg Langslow Mystery (Meg Langslow Mysteries),9781250028778,"{'ISBN-13': '9781250028778', 'Title': 'Duck The Halls - A Meg Langslow Mystery', 'Authors': ['Donna Andrews'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}"
