,0,1,2
0,The End of Healing,9780985420390,"{'ISBN-13': '9780985420390', 'Title': 'The End Of Healing', 'Authors': ['Jim Bailey'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
1,What Lies Behind (A Samantha Owens Novel),9780778317647,"{'ISBN-13': '9780778317647', 'Title': 'What Lies Behind', 'Authors': ['J. T. Ellison'], 'Publisher': 'MIRA', 'Year': '2015', 'Language': 'en'}"
2,Fatal Rhythm: A Medical Thriller and Christian Mystery (Texas Medical Center Mystery) (Volume 1),9780692254660,"{'ISBN-13': '9780692254660', 'Title': 'Fatal Rhythm - A Medical Thriller And Christian Mystery', 'Authors': [""R. B. O'Gorman""], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
3,Crisis,9780134522715,"{'ISBN-13': '9780134522715', 'Title': 'Crisis Assessment, Intervention, And Prevention', 'Authors': ['Lisa R. Jackson-Cherry', 'Bradley T. Erford'], 'Publisher': 'Pearson', 'Year': '2017', 'Language': 'en'}"
4,The Genesis Code,9780345422316,"{'ISBN-13': '9780345422316', 'Title': 'The Genesis Code', 'Authors': ['John Case'], 'Publisher': 'Random House Digital, Inc.', 'Year': '1998', 'Language': 'en'}"
5,"Do You Solemnly Swear? A Nation of Law, The Dark Side",9781942545187,"{'ISBN-13': '9781942545187', 'Title': 'Do You Solemnly Swear? - A Nation Of Law, The Dark Side', 'Authors': ['Dr Lin Wilder'], 'Publisher': 'Wyatt McKenzie Imprint', 'Year': '2015', 'Language': 'en'}"
6,Yesterday's Kin,9781616961756,"{'ISBN-13': '9781616961756', 'Title': ""Yesterday's Kin"", 'Authors': ['Nancy Kress'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
7,Bringing Out the Dead,9780375700293,"{'ISBN-13': '9780375700293', 'Title': 'Bringing Out The Dead', 'Authors': ['Joe Connelly'], 'Publisher': 'Vintage', 'Year': '1999', 'Language': 'en'}"
8,Plum Island (Special Price),9781455593873,"{'ISBN-13': '9781455593873', 'Title': 'Plum Island (Special Price)', 'Authors': ['Nelson DeMille'], 'Publisher': 'Grand Central Publishing', 'Year': '2015', 'Language': 'en'}"
9,Oath of Office,9780393652123,"{'ISBN-13': '9780393652123', 'Title': 'The Oath And The Office - A Guide To The Constitution For Future Presidents', 'Authors': ['Corey Brettschneider'], 'Publisher': 'W. W. Norton', 'Year': '2018', 'Language': 'en'}"
