,0,1,2
0,Threats 2 (Shadowrun),9783890646527,"{'ISBN-13': '9783890646527', 'Title': 'Threats 2', 'Authors': ['Fanpro'], 'Publisher': 'Fanpro Llc', 'Year': '2003', 'Language': 'en'}"
1,Shadowrun: Blood in the Boardroom (FAS7327),9781555603465,"{'ISBN-13': '9781555603465', 'Title': 'Blood In The Boardroom', 'Authors': ['Brian Schoner', 'F A S A Corporation'], 'Publisher': '', 'Year': '1998', 'Language': 'en'}"
2,Shadowrun Street Magic (Shadowrun (Catalyst Hardcover)),9781934857113,"{'ISBN-13': '9781934857113', 'Title': 'Street Magic', 'Authors': ['Catalyst Game Labs'], 'Publisher': 'Catalyst Game Labs', 'Year': '2008', 'Language': 'en'}"
3,Tir Na Nog (Shadowrun 7211),9781555602093,"{'ISBN-13': '9781555602093', 'Title': 'Tir Na Nog', 'Authors': ['Carl Sargent', 'FASA Corporation', 'Mark Gascoigne'], 'Publisher': 'FASA Corporation', 'Year': '1993', 'Language': 'en'}"
4,Shadowrun Companion: Beyond the Shadows,9781555602987,"{'ISBN-13': '9781555602987', 'Title': 'Shadowrun Companion', 'Authors': ['Zach Bush'], 'Publisher': 'Fasa', 'Year': '1996', 'Language': 'en'}"
5,Predator and Prey (Shadowrun),9781555602949,"{'ISBN-13': '9781555602949', 'Title': 'Predator And Prey - Shadowrun', 'Authors': ['F A S A Corporation'], 'Publisher': '', 'Year': '', 'Language': 'en'}"
6,Corporate Security Handbook (Shadowrun),9781555602611,"{'ISBN-13': '9781555602611', 'Title': 'Corporate Security Handbook - A Shadowrun Sourcebook', 'Authors': ['FASA Corporation', 'Michael E. Colton', 'Mike Colton'], 'Publisher': 'FASA Corporation', 'Year': '1995', 'Language': 'en'}"
7,The Grimoire: Manual of Practical Thaumaturgy : 2053 (Shadowrun),9781555601904,"{'ISBN-13': '9781555601904', 'Title': 'Grimoire II - A Shadowrun Supplement', 'Authors': ['Paul R. Hume', 'FASA Corporation'], 'Publisher': 'Fasa', 'Year': '1993', 'Language': 'en'}"
8,Year of the Comet (Shadowrun),9783890646503,"{'ISBN-13': '9783890646503', 'Title': 'Year Of The Comet', 'Authors': ['Fanpro'], 'Publisher': 'Fanpro Llc', 'Year': '2003', 'Language': 'en'}"
9,"Germany Sourcebook (Shadowrun, No. 7204)",9781555601867,"{'ISBN-13': '9781555601867', 'Title': 'Germany Sourcebook', 'Authors': ['Michael Immig', 'Thomas Rom̈er'], 'Publisher': 'Fasa', 'Year': '1994', 'Language': 'en'}"
