,0,1,2
0,Pathfinder Player Companion: Ranged Tactics Toolbox,9781601257055,"{'ISBN-13': '9781601257055', 'Title': 'Ranged Tactics Toolbox', 'Authors': ['Paizo Publishing'], 'Publisher': 'Paizo Pub Llc', 'Year': '2014', 'Language': 'en'}"
1,Pathfinder Player Companion: Melee Tactics Toolbox,9781601257321,{}
2,Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 4 - Island of Empty Eyes,9781601256928,{}
3,Pathfinder Flip-Mat Classics: Village Square,9781601257741,"{'ISBN-13': '9781601257741', 'Title': 'Pathfinder Flip-Mat Classics - Village Square', 'Authors': ['Corey Macourek', 'Stephen Radney-Macfarland'], 'Publisher': 'Paizo, Incorporated', 'Year': '2015', 'Language': 'en'}"
4,Pathfinder Flip-Mat Classics: Tavern,9781601257710,"{'ISBN-13': '9781601257710', 'Title': 'Pathfinder Flip-Mat Classics - Tavern', 'Authors': ['Stephen Radney-Macfarland', 'Corey Macourek'], 'Publisher': 'Paizo, Incorporated', 'Year': '2015', 'Language': 'en'}"
5,Pathfinder Adventure Path: Hell's Vengeance 1 of 6-The Hellfire Compact,9781601258182,"{'ISBN-13': '9781601258182', 'Title': ""Pathfinder Adventure Path - Hell's Vengeance: The Hellfire Compact"", 'Authors': ['F. Wesley Schneider'], 'Publisher': 'Paizo Publishng Incorporated', 'Year': '2016', 'Language': 'en'}"
6,Pathfinder Adventure Path: Hell's Rebels Part 5 - The Kintargo Contract,9781601258007,"{'ISBN-13': '9781601258007', 'Title': 'Pathfinder Adventure Path - The Kintargo Contract', 'Authors': ['Paizo Inc. Staff', 'Jim Groves'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
7,Pathfinder Player Companion: Occult Origins,9781601257857,"{'ISBN-13': '9781601257857', 'Title': 'Pathfinder Player Companion', 'Authors': ['Paizo Staff'], 'Publisher': 'Paizo, Incorporated', 'Year': '2015', 'Language': 'en'}"
8,Pathfinder Adventure Path: Hell's Rebels 4 of 6-A Song of Silver (Pathfinder Roleplaying Game),9781601257956,"{'ISBN-13': '9781601257956', 'Title': ""Pathfinder Adventure Path: Hell's Rebels 4 Of 6-A Song Of Silver"", 'Authors': ['James Jacobs'], 'Publisher': 'Paizo, Incorporated', 'Year': '2015', 'Language': 'en'}"
9,Pathfinder Roleplaying Game: Rise of the Runelords Adventure Path Pawn Collection,9781601255747,{}
