,0,1,2
0,The Collapse of Western Civilization: A View from the Future,9780231169547,"{'ISBN-13': '9780231169547', 'Title': 'The Collapse Of Western Civilization - A View From The Future', 'Authors': ['Naomi Oreskes', 'Erik M. Conway'], 'Publisher': 'Columbia University Press', 'Year': '2014', 'Language': 'en'}"
1,Fatherland: A Novel,9780812977219,"{'ISBN-13': '9780812977219', 'Title': 'Fatherland - A Novel', 'Authors': ['Robert Harris'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2006', 'Language': 'en'}"
2,Marked In Flesh: A Novel of the Others,9780451474483,"{'ISBN-13': '9780451474483', 'Title': 'Marked In Flesh', 'Authors': ['Anne Bishop'], 'Publisher': 'Penguin', 'Year': '2017', 'Language': 'en'}"
3,1635: A Parcel of Rogues (The Ring of Fire),9781476781976,"{'ISBN-13': '9781476781976', 'Title': '1635 - A Parcel Of Rogues', 'Authors': ['Eric Flint', 'Andrew Dennis'], 'Publisher': 'Baen Books', 'Year': '2016', 'Language': 'en'}"
4,Vision in Silver: A Novel of the Others,9780451465740,"{'ISBN-13': '9780451465740', 'Title': 'Vision In Silver', 'Authors': ['Anne Bishop'], 'Publisher': 'Roc', 'Year': '2016', 'Language': 'en'}"
5,The Price of Valor: Book Three of the Shadow Campaigns,9781664419407,{}
6,Straits of Hell: Destroyermen,9780451470621,"{'ISBN-13': '9780451470621', 'Title': 'Straits Of Hell', 'Authors': ['Taylor Anderson'], 'Publisher': 'Roc', 'Year': '2016', 'Language': 'en'}"
7,"Bombs Away: The Hot War (Hot War, The)",9780553390728,"{'ISBN-13': '9780553390728', 'Title': 'Bombs Away - The Hot War', 'Authors': ['Harry Turtledove'], 'Publisher': 'Hot War', 'Year': '2016', 'Language': 'en'}"
8,The Change: Tales of Downfall and Rebirth (Change Series),9780451467560,"{'ISBN-13': '9780451467560', 'Title': 'The Change - Tales Of Downfall And Rebirth', 'Authors': ['S. M. Stirling'], 'Publisher': 'Penguin', 'Year': '2015', 'Language': 'en'}"
9,Germanica (More...),9781476780566,"{'ISBN-13': '9781476780566', 'Title': 'Germanica', 'Authors': ['Robert Conroy'], 'Publisher': 'Baen', 'Year': '2015', 'Language': 'en'}"
