,0,1,2
0,Make Me: A Jack Reacher Novel,9780804178792,"{'ISBN-13': '9780804178792', 'Title': 'Make Me - A Jack Reacher Novel', 'Authors': ['Lee Child'], 'Publisher': 'Dell', 'Year': '2016', 'Language': 'en'}"
1,Tricky Twenty-Two: A Stephanie Plum Novel,9780345542977,"{'ISBN-13': '9780345542977', 'Title': 'Tricky Twenty-Two - A Stephanie Plum Novel', 'Authors': ['Janet Evanovich'], 'Publisher': 'Bantam', 'Year': '2016', 'Language': 'en'}"
2,Ready Player One: A Novel,9780307887443,"{'ISBN-13': '9780307887443', 'Title': 'Ready Player One', 'Authors': ['Ernest Cline'], 'Publisher': 'Broadway Books', 'Year': '2011', 'Language': 'en'}"
3,Depraved Heart: A Scarpetta Novel (Kay Scarpetta),9780062325419,"{'ISBN-13': '9780062325419', 'Title': 'Depraved Heart - A Scarpetta Novel', 'Authors': ['Patricia Cornwell'], 'Publisher': 'William Morrow', 'Year': '2016', 'Language': 'en'}"
4,Pretty Girls: A Novel,9780062429070,"{'ISBN-13': '9780062429070', 'Title': 'Pretty Girls - A Novel', 'Authors': ['Karin Slaughter'], 'Publisher': 'William Morrow', 'Year': '2016', 'Language': 'en'}"
5,One Year After: A Novel,9780765376718,"{'ISBN-13': '9780765376718', 'Title': 'One Year After - A John Matherson Novel', 'Authors': ['William R. Forstchen'], 'Publisher': 'Forge Books', 'Year': '2016', 'Language': 'en'}"
6,Start with Why: How Great Leaders Inspire Everyone to Take Action,9781591846444,"{'ISBN-13': '9781591846444', 'Title': 'Start With Why - How Great Leaders Inspire Everyone To Take Action', 'Authors': ['Simon Sinek'], 'Publisher': 'Penguin', 'Year': '2011', 'Language': 'en'}"
7,The Life We Bury,9781616149987,"{'ISBN-13': '9781616149987', 'Title': 'The Life We Bury', 'Authors': ['Allen Eskens'], 'Publisher': 'Seventh Street Books', 'Year': '2014', 'Language': 'en'}"
8,A Banquet of Consequences: A Lynley Novel (Inspector Lynley Novel),9780451467850,"{'ISBN-13': '9780451467850', 'Title': 'A Banquet Of Consequences - A Lynley Novel', 'Authors': ['Elizabeth George'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
9,X (A Kinsey Millhone Novel),9781101981870,"{'ISBN-13': '9781101981870', 'Title': 'X', 'Authors': ['Sue Grafton'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
