,0,1,2
0,Liz Fielding's Little Book of Writing Romance,9780993045004,"{'ISBN-13': '9780993045004', 'Title': ""Liz Fielding's Little Book Of Writing Romance"", 'Authors': ['Liz Fielding'], 'Publisher': 'Classic Romance', 'Year': '2014', 'Language': 'en'}"
1,The Patrons,9781975891985,"{'ISBN-13': '9781975891985', 'Title': 'The Patrons', 'Authors': ['Katherine Dempster'], 'Publisher': '', 'Year': '2017', 'Language': 'en'}"
2,Writing the Christian Romance,9781582974774,"{'ISBN-13': '9781582974774', 'Title': 'Writing The Christian Romance', 'Authors': ['Gail Gaymer Martin'], 'Publisher': ""Writer's Digest Books"", 'Year': '2007', 'Language': 'en'}"
3,"The Scar of Revolution: Custine, Tocqueville, and the Romantic Imagination",9780520073517,"{'ISBN-13': '9780520073517', 'Title': 'The Scar Of Revolution - Custine, Tocqueville, And The Romantic Imagination', 'Authors': ['Irena Grudzińska-Gross'], 'Publisher': '', 'Year': '1991', 'Language': 'en'}"
4,"The Mythical Quest: In Search of Adventure, Romance & Enlightenment",9780764900082,"{'ISBN-13': '9780764900082', 'Title': 'The Mythical Quest - In Search Of Adventure, Romance & Enlightenment', 'Authors': ['Rosalind Kerven'], 'Publisher': 'Pomegranate', 'Year': '1996', 'Language': 'en'}"
5,French Odysseys: Greece in French Travel Literature from the Renaissance to the Romantic Era,9780801846168,"{'ISBN-13': '9780801846168', 'Title': 'French Odysseys - Greece In French Travel Literature From The Renaissance To The Romantic Era', 'Authors': ['Olga Augustinos'], 'Publisher': '', 'Year': '1994', 'Language': 'en'}"
6,Writing the Great American Romance Novel,9781581154559,"{'ISBN-13': '9781581154559', 'Title': 'Writing The Great American Romance Novel', 'Authors': ['Catherine Lanigan'], 'Publisher': 'Skyhorse Publishing Inc.', 'Year': '2006', 'Language': 'en'}"
7,366 Ways To Know Your Character: A Romance In A Month Daily Writing Workbook,9781503328471,"{'ISBN-13': '9781503328471', 'Title': '366 Ways To Know Your Character - A Romance In A Month Daily Writing Workbook', 'Authors': ['Rachelle Ayala'], 'Publisher': 'CreateSpace', 'Year': '2014', 'Language': 'en'}"
8,Namma: A Tibetan Love Story,9780340767399,"{'ISBN-13': '9780340767399', 'Title': 'Namma - A Tibetan Love Story', 'Authors': ['Kate Karko'], 'Publisher': '', 'Year': '2000', 'Language': 'en'}"
9,#romanceclass: Learning to write (and finish) a contemporary romance novella,9781490480084,"{'ISBN-13': '9781490480084', 'Title': '#Romanceclass: Learning To Write (And Finish) A Contemporary Romance Novella', 'Authors': ['Mina Esguerra'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
