,0,1,2
0,Best Friends Forever,9780743294294,"{'ISBN-13': '9780743294294', 'Title': 'Best Friends Forever - A Novel', 'Authors': ['Jennifer Weiner'], 'Publisher': 'Simon and Schuster', 'Year': '2009', 'Language': 'en'}"
1,The Prada Plan 3: Green-Eyed Monster (Urban Books),9781601625373,"{'ISBN-13': '9781601625373', 'Title': 'The Prada Plan 3 - Green-Eyed Monster', 'Authors': ['Ashley Antoinette', 'Ashley'], 'Publisher': 'Prada Plan', 'Year': '2013', 'Language': 'en'}"
2,Who Asked You?,9780670015863,"{'ISBN-13': '9780670015863', 'Title': 'Who Asked You?', 'Authors': ['Terry McMillan'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
3,For Your Love: A Blessings Novel,9780062207999,"{'ISBN-13': '9780062207999', 'Title': 'For Your Love - A Blessings Novel', 'Authors': ['Beverly Jenkins'], 'Publisher': 'William Morrow Paperbacks', 'Year': '2015', 'Language': 'en'}"
4,Mama's Boy,9781473665446,"{'ISBN-13': '9781473665446', 'Title': ""Mama's Boy - The Art Of Building Bridges"", 'Authors': ['Dustin Lance Black'], 'Publisher': 'John Murray', 'Year': '2019', 'Language': 'en'}"
5,Finding Amos,9781451617047,"{'ISBN-13': '9781451617047', 'Title': 'Finding Amos', 'Authors': ['J.D. Mason', 'ReShonda Tate Billingsley', 'Bernice L. McFadden'], 'Publisher': 'Simon and Schuster', 'Year': '2015', 'Language': 'en'}"
6,Bad Blood,9781524731656,{}
7,Glimmer in the Darkness (Forgiveness),9780996539708,"{'ISBN-13': '9780996539708', 'Title': 'Glimmer In The Darkness', 'Authors': ['Nicole Hampton'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
8,The Temple of My Familiar,9780151885336,"{'ISBN-13': '9780151885336', 'Title': 'The Temple Of My Familiar', 'Authors': ['Alice Walker'], 'Publisher': 'Harcourt', 'Year': '1989', 'Language': 'en'}"
9,Female Hustler,9780991389032,"{'ISBN-13': '9780991389032', 'Title': 'Female Hustler', 'Authors': ['Joy Deja King'], 'Publisher': 'King Productions', 'Year': '2014', 'Language': 'en'}"
