,0,1,2
0,Two Centuries of Roman Prose,9781853994951,"{'ISBN-13': '9781853994951', 'Title': 'Two Centuries Of Roman Prose', 'Authors': ['Arthur Robin Davis', 'Eberhard Christopher Kennedy'], 'Publisher': 'Bristol Classical Press', 'Year': '1998', 'Language': 'en'}"
1,Women and Visual Replication in Roman Imperial Art and Culture (Greek Culture in the Roman World),9780521825153,"{'ISBN-13': '9780521825153', 'Title': 'Women And Visual Replication In Roman Imperial Art And Culture', 'Authors': ['Jennifer Trimble'], 'Publisher': 'Cambridge University Press', 'Year': '2011', 'Language': 'en'}"
2,Seneca's Moral Epistles,9798500396396,{}
3,Man and Animal in Severan Rome: The Literary Imagination of Claudius Aelianus (Greek Culture in the Roman World),9781107033986,"{'ISBN-13': '9781107033986', 'Title': 'Man And Animal In Severan Rome - The Literary Imagination Of Claudius Aelianus', 'Authors': ['Steven D. Smith'], 'Publisher': 'Cambridge University Press', 'Year': '2014', 'Language': 'en'}"
4,Aristotle on Life and Death,9781532844041,"{'ISBN-13': '9781532844041', 'Title': 'On Life And Death', 'Authors': ['Aristotle'], 'Publisher': 'Createspace Independent Publishing Platform', 'Year': '2016', 'Language': 'en'}"
5,"Marcus Aurelius: A Biography Told as Much as May Be by Letters, Together With Some Account of the Stoic Religion and an Exposition of the Roman ... During Marcus's Reign (Classic Reprint)",9781331104674,"{'ISBN-13': '9781331104674', 'Title': ""Marcus Aurelius - A Biography Told As Much As May Be By Letters, Together With Some Account Of The Stoic Religion And An Exposition Of The Roman Government's Attempt To Suppress Christianity During Marcus's Reign (Classic Reprint)"", 'Authors': ['Henry Dwight Sedgwick'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
6,The Arts of Love: Five Studies in the Discourse of Roman Love Elegy (Roman Literature and its Contexts),9780521407670,"{'ISBN-13': '9780521407670', 'Title': 'The Arts Of Love - Five Studies In The Discourse Of Roman Love Elegy', 'Authors': ['Duncan F. Kennedy'], 'Publisher': 'Cambridge University Press', 'Year': '1993', 'Language': 'en'}"
7,The Conflict of Religion in the Early Roman Empire,9781406760057,"{'ISBN-13': '9781406760057', 'Title': 'The Conflict Of Religions - In The Early Roman Empire', 'Authors': ['T. R. Glover'], 'Publisher': 'Glover Press', 'Year': '2007', 'Language': 'en'}"
8,Euripides: Suppliant Women (Companions to Greek and Roman Tragedy),9781472521156,"{'ISBN-13': '9781472521156', 'Title': 'Euripides: Suppliant Women', 'Authors': ['Ian C. Storey'], 'Publisher': 'A&C Black', 'Year': '2013', 'Language': 'en'}"
9,"Myth, Ritual, and the Warrior in Roman and Indo-European Antiquity",9781107022409,"{'ISBN-13': '9781107022409', 'Title': 'Myth, Ritual, And The Warrior In Roman And Indo-European Antiquity', 'Authors': ['Roger D. Woodard'], 'Publisher': 'Cambridge University Press', 'Year': '2013', 'Language': 'en'}"
