,0,1,2
0,"Hard Eight (Stephanie Plum, No. 8) (Stephanie Plum Novels)",9780312983864,"{'ISBN-13': '9780312983864', 'Title': 'Hard Eight - A Stephanie Plum Novel', 'Authors': ['Janet Evanovich'], 'Publisher': 'Farrar, Straus, and Giroux', 'Year': '2003', 'Language': 'en'}"
1,Even Vampires Get the Blues: A Deadly Angels Book,9780062356529,"{'ISBN-13': '9780062356529', 'Title': 'Even Vampires Get The Blues - A Deadly Angels Book', 'Authors': ['Sandra Hill'], 'Publisher': 'Avon', 'Year': '2015', 'Language': 'en'}"
2,The Throne in the Heart of the Sea,9781892076830,"{'ISBN-13': '9781892076830', 'Title': 'The Throne In The Heart Of The Sea', 'Authors': ['Martha Shelley'], 'Publisher': '', 'Year': '2011', 'Language': 'en'}"
3,Girl Underwater,9781101983980,"{'ISBN-13': '9781101983980', 'Title': 'Girl Underwater - A Novel', 'Authors': ['Claire Kells'], 'Publisher': 'Penguin', 'Year': '2016', 'Language': 'en'}"
4,ÁEltimas tardes con Teresa (Spanish Edition),9788490628102,"{'ISBN-13': '9788490628102', 'Title': 'Últimas tardes con Teresa', 'Authors': ['Juan Marsé'], 'Publisher': 'Debolsillo', 'Year': '2015', 'Language': 'es'}"
5,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin & Sabine Continues,9780811801805,"{'ISBN-13': '9780811801805', 'Title': ""Sabine's Notebook - In Which The Extraordinary Correspondence Of Griffin & Sabine Continues"", 'Authors': ['Nick Bantock'], 'Publisher': 'Chronicle Books', 'Year': '1992', 'Language': 'en'}"
6,Ride the Wind,9780345325228,"{'ISBN-13': '9780345325228', 'Title': 'Ride The Wind', 'Authors': ['Lucia St. Clair Robson'], 'Publisher': 'Random House Digital, Inc.', 'Year': '1985', 'Language': 'en'}"
7,Gai-Jin,9780440216803,"{'ISBN-13': '9780440216803', 'Title': ""James Clavell's Gai-Jin - A Novel Of Japan"", 'Authors': ['James Clavell'], 'Publisher': 'Dell Publishing Company', 'Year': '1994', 'Language': 'en'}"
8,Rock Chick Rescue (Volume 2),9780615764030,"{'ISBN-13': '9780615764030', 'Title': 'Rock Chick Rescue', 'Authors': ['Kristen Ashley'], 'Publisher': 'Kristen Ashley', 'Year': '2011', 'Language': 'en'}"
9,The Sweetest Chase (Heart of the Storm),9781511359351,{}
