,0,1,2
0,Sins of Omission,9781648049613,"{'ISBN-13': '9781648049613', 'Title': 'Sins Of Omission (HB)', 'Authors': ['Richard Rosini'], 'Publisher': 'Dorrance Publishing', 'Year': '2021', 'Language': 'en'}"
1,By Starlight,9784048724012,"{'ISBN-13': '9784048724012', 'Title': '星影のステラ', 'Authors': ['林真理子', '真理子·林'], 'Publisher': '', 'Year': '1985', 'Language': 'ja'}"
2,Wolf Among Wolves,9781933633923,"{'ISBN-13': '9781933633923', 'Title': 'Wolf Among Wolves', 'Authors': ['Hans Fallada'], 'Publisher': 'Melville House', 'Year': '2010', 'Language': 'en'}"
3,Tomorrow Is Forever: A Novel,9781480485389,"{'ISBN-13': '9781480485389', 'Title': 'Tomorrow Is Forever', 'Authors': ['Gwen Bristow'], 'Publisher': 'Open Road Media', 'Year': '2014', 'Language': 'en'}"
4,Autumn Spring,9781645848851,"{'ISBN-13': '9781645848851', 'Title': 'Autumn Spring', 'Authors': ['Sam Pettus'], 'Publisher': 'Page Publishing, Incorporated', 'Year': '2019', 'Language': 'en'}"
5,Dare to Love Again: A Novel (The Heart of San Francisco) (Volume 2),9780800721664,"{'ISBN-13': '9780800721664', 'Title': 'Dare To Love Again - A Novel', 'Authors': ['Julie Lessman'], 'Publisher': 'Revell', 'Year': '2014', 'Language': 'en'}"
6,The Song of Hartgrove Hall: A Novel,9780147517593,"{'ISBN-13': '9780147517593', 'Title': 'The Song Of Hartgrove Hall - A Novel', 'Authors': ['Natasha Solomons'], 'Publisher': 'Penguin', 'Year': '2015', 'Language': 'en'}"
7,La casa de Riverton (Spanish Edition),9788466325066,"{'ISBN-13': '9788466325066', 'Title': 'La casa de Riverton', 'Authors': ['Kate Morton'], 'Publisher': 'Punto de Lectura', 'Year': '2011', 'Language': 'es'}"
8,The Artichoke Queen,9781604891584,"{'ISBN-13': '9781604891584', 'Title': 'The Artichoke Queen', 'Authors': ['Owen Duffy'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
9,A Memory Between Us: A Novel (Wings of Glory),9780800734220,"{'ISBN-13': '9780800734220', 'Title': 'A Memory Between Us - A Novel', 'Authors': ['Sarah Sundin'], 'Publisher': 'Revell', 'Year': '2010', 'Language': 'en'}"
