,0,1,2
0,Erotica Escapades,9781490328669,"{'ISBN-13': '9781490328669', 'Title': 'Erotic Escapades', 'Authors': ['Chase Boehner'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
1,Erotica XXX,9781494278014,"{'ISBN-13': '9781494278014', 'Title': 'XXX Erotica', 'Authors': ['Renee R. Miller'], 'Publisher': 'CreateSpace', 'Year': '2013', 'Language': 'en'}"
2,Erotica: Out of the Blue - Poetry to Ignite Dying Embers,9781902127002,"{'ISBN-13': '9781902127002', 'Title': 'Erotica--Out Of The Blue - Poetry To Ignite Dying Embers', 'Authors': ['Josephine'], 'Publisher': '', 'Year': '1998', 'Language': 'en'}"
3,The Enticement: The Submissive Series,9780451474513,"{'ISBN-13': '9780451474513', 'Title': 'The Enticement', 'Authors': ['Tara Sue Me'], 'Publisher': 'Penguin', 'Year': '2015', 'Language': 'en'}"
4,Sweet Addiction,9781970127003,"{'ISBN-13': '9781970127003', 'Title': 'Sweet Addiction', 'Authors': ['J. Daniels'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
5,The Training: The Submissive Series,9780451466242,"{'ISBN-13': '9780451466242', 'Title': 'The Training', 'Authors': ['Tara Sue Me'], 'Publisher': 'Penguin', 'Year': '2013', 'Language': 'en'}"
6,The Submissive: The Submissive Series,9780451466228,"{'ISBN-13': '9780451466228', 'Title': 'The Submissive', 'Authors': ['Tara Sue Me'], 'Publisher': 'Penguin', 'Year': '2013', 'Language': 'en'}"
7,Reaper's Property (Ellora's Cave Moderne),9781419970290,"{'ISBN-13': '9781419970290', 'Title': ""Reaper's Property"", 'Authors': ['Joanna Wylde'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}"
8,"It Happened at Christmas (Christmas, Colorado)",9781455527717,"{'ISBN-13': '9781455527717', 'Title': 'It Happened At Christmas', 'Authors': ['Debbie Mason'], 'Publisher': 'Forever', 'Year': '2014', 'Language': 'en'}"
9,"Riot: Predators MC, Book 1",9781531817626,{}
