,0,1,2
0,The Bridge: A Novel,9781451647013,"{'ISBN-13': '9781451647013', 'Title': 'The Bridge - A Novel', 'Authors': ['Karen Kingsbury'], 'Publisher': 'Simon and Schuster', 'Year': '2012', 'Language': 'en'}"
1,An Echo in the Darkness (Mark of the Lion #2),9780842313070,"{'ISBN-13': '9780842313070', 'Title': 'An Echo In The Darkness', 'Authors': ['Francine Rivers'], 'Publisher': 'Tyndale House Publishers, Inc.', 'Year': '2002', 'Language': 'en'}"
2,The Road to Grace (The Walk),9781451628289,"{'ISBN-13': '9781451628289', 'Title': 'The Road To Grace', 'Authors': ['Richard Paul Evans'], 'Publisher': 'Simon and Schuster', 'Year': '2013', 'Language': 'en'}"
3,Miles to Go (The Walk),9781476718637,"{'ISBN-13': '9781476718637', 'Title': 'Miles To Go', 'Authors': ['Richard Paul Evans'], 'Publisher': 'Simon and Schuster', 'Year': '2013', 'Language': 'en'}"
4,Beside Still Waters Words Of Comfort For The Soul,9780785206781,"{'ISBN-13': '9780785206781', 'Title': 'Beside Still Waters - Words Of Comfort For The Soul', 'Authors': ['Charles Haddon Spurgeon'], 'Publisher': 'Thomas Nelson Incorporated', 'Year': '1999', 'Language': 'en'}"
5,A Harvest of Hope (Song of Blessing) (Volume 2),9780764211058,"{'ISBN-13': '9780764211058', 'Title': 'A Harvest Of Hope', 'Authors': ['Lauraine Snelling'], 'Publisher': 'Bethany House Publishers', 'Year': '2015', 'Language': 'en'}"
6,Tiffany Girl: A Novel,9781451692440,"{'ISBN-13': '9781451692440', 'Title': 'Tiffany Girl - A Novel', 'Authors': ['Deeanne Gist'], 'Publisher': 'Simon and Schuster', 'Year': '2015', 'Language': 'en'}"
7,Song of the Meadowlark (Intertwined) (Volume 1),9781514799680,"{'ISBN-13': '9781514799680', 'Title': 'Song Of The Meadowlark', 'Authors': ['Sherri Wilson Johnson'], 'Publisher': 'Createspace Independent Publishing Platform', 'Year': '2015', 'Language': 'en'}"
8,As Sure as the Dawn (Mark of the Lion #3),9780842339766,"{'ISBN-13': '9780842339766', 'Title': 'As Sure As The Dawn', 'Authors': ['Francine Rivers'], 'Publisher': 'Tyndale House Publishers, Inc.', 'Year': '1995', 'Language': 'en'}"
9,Decision: (The Prairie State Friends),9781616260880,"{'ISBN-13': '9781616260880', 'Title': 'The Decision', 'Authors': ['Wanda E. Brunstetter'], 'Publisher': 'Shiloh Run Press', 'Year': '2015', 'Language': 'en'}"
