,0,1,2
0,Frankenstein (Signet Classics),9780451532244,"{'ISBN-13': '9780451532244', 'Title': 'Frankenstein, Or, The Modern Prometheus', 'Authors': ['Mary Wollstonecraft Shelley'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}"
1,The Dark Descent,9780312862176,"{'ISBN-13': '9780312862176', 'Title': 'The Dark Descent', 'Authors': ['David G. Hartwell'], 'Publisher': 'Macmillan', 'Year': '1997', 'Language': 'en'}"
2,"The Bastion Wars (Warhammer 40,000 Novels)",9781849707282,"{'ISBN-13': '9781849707282', 'Title': 'The Bastion Wars', 'Authors': ['Henry Zou'], 'Publisher': 'Games Workshop', 'Year': '2014', 'Language': 'en'}"
3,Tales of Heresy (The Horus Heresy),9781844166824,"{'ISBN-13': '9781844166824', 'Title': 'Horus Heresy: Tales Of Heresy', 'Authors': ['Nick Kyme', 'Lindsey Priestley'], 'Publisher': 'Games Workshop', 'Year': '2009', 'Language': 'en'}"
4,Masterpieces of Terror and the Supernatural: A Treasury of Spellbinding Tales Old and New,9780385185493,"{'ISBN-13': '9780385185493', 'Title': 'Masterpieces Of Terror And The Supernatural - A Treasury Of Spellbinding Tales Old & New', 'Authors': ['Marvin Kaye', 'Saralee Kaye'], 'Publisher': 'Doubleday Books', 'Year': '1985', 'Language': 'en'}"
5,So Long Been Dreaming: Postcolonial Science Fiction & Fantasy,9781551521589,"{'ISBN-13': '9781551521589', 'Title': 'So Long Been Dreaming - Postcolonial Science Fiction & Fantasy', 'Authors': ['Uppinder Mehan', 'Nalo Hopkinson'], 'Publisher': 'Arsenal Pulp PressLtd', 'Year': '2004', 'Language': 'en'}"
6,Dreamweaver's Dilemma,9780915368532,"{'ISBN-13': '9780915368532', 'Title': ""Dreamweaver's Dilemma - Short Stories And Essays"", 'Authors': ['Lois McMaster Bujold'], 'Publisher': 'Nesfa Press', 'Year': '1997', 'Language': 'en'}"
7,"Complete Stories of Robert Bloch: Final Reckonings (Complete Stories of Robert Bloch, Volume 1)",9780806511443,"{'ISBN-13': '9780806511443', 'Title': 'The Complete Stories Of Robert Bloch: Bitter Ends', 'Authors': ['Robert Bloch'], 'Publisher': '', 'Year': '1990', 'Language': 'en'}"
8,World War Cthulhu: A Collection of Lovecraftian War Stories,9781626410749,"{'ISBN-13': '9781626410749', 'Title': 'World War Cthulhu - A Collection Of Lovecraftian War Stories', 'Authors': ['Brian M. Sammons', 'Glynn Owen Barrass', 'John Shirley', 'Robert M. Price', 'Cody Goodfellow'], 'Publisher': 'Dark Regions Press', 'Year': '2014', 'Language': 'en'}"
9,The Year's Best Science Fiction: Thirty-Second Annual Collection,9781250064424,"{'ISBN-13': '9781250064424', 'Title': ""The Year's Best Science Fiction: Thirty-Second Annual Collection"", 'Authors': ['Gardner Dozois'], 'Publisher': 'Macmillan', 'Year': '2015', 'Language': 'en'}"
