,0,1,2
0,Running with Scissors: A Memoir,9780312422271,"{'ISBN-13': '9780312422271', 'Title': 'Running With Scissors - A Memoir', 'Authors': ['Augusten Burroughs'], 'Publisher': 'Picador', 'Year': '2003', 'Language': 'en'}"
1,Star Wars: The Blueprints,9781611097962,"{'ISBN-13': '9781611097962', 'Title': 'Star Wars - The Blueprints', 'Authors': ['J. W. Rinzler'], 'Publisher': '47 North', 'Year': '2013', 'Language': 'en'}"
2,Sight Unseen (Star Trek: Titan),9781476783161,"{'ISBN-13': '9781476783161', 'Title': 'Sight Unseen', 'Authors': ['James Swallow'], 'Publisher': 'Simon and Schuster', 'Year': '2015', 'Language': 'en'}"
3,Childhood's End,9781101967034,"{'ISBN-13': '9781101967034', 'Title': ""Childhood's End"", 'Authors': ['Arthur C. Clarke'], 'Publisher': 'Del Rey', 'Year': '2015', 'Language': 'en'}"
4,Star Wars: Lost Tribe of the Sith - The Collected Stories (Star Wars: Lost Tribe of the Sith - Legends),9780345541321,"{'ISBN-13': '9780345541321', 'Title': 'Lost Tribe Of The Sith - The Collected Stories', 'Authors': ['John Jackson Miller'], 'Publisher': 'Lucasbooks', 'Year': '2012', 'Language': 'en'}"
5,The Player of Games (Culture),9780316005401,"{'ISBN-13': '9780316005401', 'Title': 'The Player Of Games', 'Authors': ['Iain M. Banks'], 'Publisher': 'Orbit', 'Year': '2008', 'Language': 'en'}"
6,Into the Void: Star Wars (Dawn of the Jedi) (Star Wars: Dawn of the Jedi - Legends),9780345545053,"{'ISBN-13': '9780345545053', 'Title': 'Into The Void', 'Authors': ['Tim Lebbon'], 'Publisher': 'Lucasbooks', 'Year': '2014', 'Language': 'en'}"
7,Starship Troopers,9780441783588,"{'ISBN-13': '9780441783588', 'Title': 'Starship Troopers', 'Authors': ['Robert Anson Heinlein'], 'Publisher': 'Penguin', 'Year': '1987', 'Language': 'en'}"
8,Redshirts: A Novel with Three Codas,9781491514382,{}
9,XCOM 2: Resurrection,9781608877126,"{'ISBN-13': '9781608877126', 'Title': 'XCOM 2: Resurrection', 'Authors': ['Greg Keyes'], 'Publisher': 'Insight Editions', 'Year': '2015', 'Language': 'en'}"
