,0,1,2
0,Hero's Guide (Star Wars Roleplaying Game),9780786928835,"{'ISBN-13': '9780786928835', 'Title': ""Hero's Guide"", 'Authors': ['Rodney Thompson', 'J. D. Wiker'], 'Publisher': '', 'Year': '2003', 'Language': 'en'}"
1,Scion 1 Hero,9781588464682,"{'ISBN-13': '9781588464682', 'Title': 'Scion Hero', 'Authors': ['White Wolf', 'Justin Achilli'], 'Publisher': 'White Wolf Pub', 'Year': '2007', 'Language': 'en'}"
2,Dr Who Ninth Doctor Sourcebook,9780857442529,"{'ISBN-13': '9780857442529', 'Title': 'The Ninth Doctor Sourcebook', 'Authors': ['Cubicle 7', 'Walt Ciechanowski'], 'Publisher': '', 'Year': '2015', 'Language': 'en'}"
3,Mutants Masterminds Rpg Wild Cards,9781934547113,"{'ISBN-13': '9781934547113', 'Title': 'Wild Cards - A Campaign Setting For Mutants & Masterminds', 'Authors': ['John Jos Miller', 'Steve Kenson', 'George R R Martin'], 'Publisher': 'Green Ronin Pub', 'Year': '2008', 'Language': 'en'}"
4,Geonosis and the Outer Rim Worlds (Star Wars Roleplaying Game),9780786931330,"{'ISBN-13': '9780786931330', 'Title': 'Geonosis And The Outer Rim Worlds', 'Authors': ['Craig Carey', 'Jeff Quick', 'Jason Fry', 'Daniel Wallace'], 'Publisher': '', 'Year': '2004', 'Language': 'en'}"
5,Mutants and Masterminds 2nd Edition,9781932442526,"{'ISBN-13': '9781932442526', 'Title': 'Mutants & Masterminds', 'Authors': ['Steve Kenson'], 'Publisher': 'Green Ronin Pub', 'Year': '2005', 'Language': 'en'}"
6,Star Wars: The Roleplaying Game (Thrawn Trilogy Sourcebook),9780874312805,"{'ISBN-13': '9780874312805', 'Title': 'The Thrawn Trilogy Sourcebook', 'Authors': ['F A S A Corporation', 'West End Games, Incorporated'], 'Publisher': '', 'Year': '1998', 'Language': 'en'}"
7,"""Star Trek"" Role Playing Game",9781582369082,"{'ISBN-13': '9781582369082', 'Title': 'Star Trek Role Playing Game - Creatures', 'Authors': ['Decipher Inc'], 'Publisher': 'Decipher', 'Year': '2003', 'Language': 'en'}"
8,The Legend of Heroes: The Illustrations (Legend of Heroes SC),9781926778914,"{'ISBN-13': '9781926778914', 'Title': 'The Legend Of Heroes - The Illustrations', 'Authors': ['Nihon Falcom'], 'Publisher': 'Udon Entertainment Corporation', 'Year': '2014', 'Language': 'en'}"
9,Rebellion Era Sourcebook (Star Wars Roleplaying Game),9780786918379,"{'ISBN-13': '9780786918379', 'Title': 'Rebellion Era Sourcebooks', 'Authors': ['Bill Slavicsek', 'Steve Miller', 'Owen K. C. Stephens'], 'Publisher': '', 'Year': '2001', 'Language': 'en'}"
